SalesPrice,Sqft,LandSize,Age,Bathrooms,NBHD,GarageSize,NBHD_101,NBHD_102,NBHD_104,NBHD_105
154603,991,10175,40,2.0,101,0,1,0,0,0
150872,950,17823,67,2.0,101,264,1,0,0,0
179655,1573,13907,31,2.5,101,264,1,0,0,0
204465,1584,12351,48,2.5,101,0,1,0,0,0
218999,1471,15929,56,1.5,101,0,1,0,0,0
195357,1157,19310,48,2.0,101,0,1,0,0,0
135752,985,14278,79,2.5,101,0,1,0,0,0
207261,1575,11707,57,1.5,101,264,1,0,0,0
230749,1577,11415,53,2.5,101,0,1,0,0,0
144245,1358,13955,65,2.0,101,0,1,0,0,0
113961,1080,19383,79,2.0,101,0,1,0,0,0
230200,1517,11311,38,2.0,101,0,1,0,0,0
218733,1271,13931,35,1.5,101,0,1,0,0,0
216313,1475,10955,71,2.5,101,0,1,0,0,0
134947,1198,13611,79,1.5,101,0,1,0,0,0
164172,1288,15152,64,1.5,101,384,1,0,0,0
222143,1412,10767,68,2.0,101,264,1,0,0,0
181079,1562,10798,55,2.0,101,0,1,0,0,0
186649,1145,19529,45,1.5,101,0,1,0,0,0
180763,1359,19615,78,2.5,101,0,1,0,0,0
171199,1219,18820,57,2.0,101,0,1,0,0,0
173008,941,18765,58,2.5,101,264,1,0,0,0
171665,1305,18485,71,2.5,101,0,1,0,0,0
187668,1258,14293,62,2.5,101,0,1,0,0,0
142345,1166,17299,49,2.0,101,0,1,0,0,0
219022,1594,15290,52,2.5,101,264,1,0,0,0
175360,1503,12361,76,1.5,101,0,1,0,0,0
188173,1366,12335,37,2.5,101,0,1,0,0,0
190694,1487,16132,67,1.5,101,0,1,0,0,0
152248,1003,11304,39,1.5,101,0,1,0,0,0
181417,1395,11527,30,1.5,101,0,1,0,0,0
126482,1235,15640,75,1.5,101,264,1,0,0,0
202574,1597,15808,71,1.5,101,0,1,0,0,0
213957,1312,16095,33,2.5,101,0,1,0,0,0
249364,1583,19895,44,2.5,101,0,1,0,0,0
215615,1442,16707,40,2.0,101,384,1,0,0,0
96256,929,11659,75,2.0,101,0,1,0,0,0
172468,948,17556,33,2.0,101,0,1,0,0,0
157488,1158,19944,56,1.5,101,0,1,0,0,0
178046,1270,17976,44,1.5,101,384,1,0,0,0
155912,1067,18145,34,1.5,101,0,1,0,0,0
168327,1270,18846,70,2.5,101,264,1,0,0,0
171917,1155,17073,55,2.0,101,0,1,0,0,0
136317,963,17299,57,2.0,101,264,1,0,0,0
193378,1418,14479,49,2.0,101,0,1,0,0,0
143176,1109,12593,47,2.0,101,0,1,0,0,0
204837,1449,16661,41,2.0,101,0,1,0,0,0
181307,1264,16486,72,2.0,101,0,1,0,0,0
184613,1492,13631,70,2.5,101,0,1,0,0,0
210353,1409,12494,66,2.0,101,384,1,0,0,0
237773,1480,14003,53,2.0,101,264,1,0,0,0
190558,1441,19817,67,2.5,101,0,1,0,0,0
132801,952,14418,72,2.0,101,0,1,0,0,0
224909,1334,17368,39,2.0,101,264,1,0,0,0
195211,1201,17234,33,2.0,101,0,1,0,0,0
189904,1199,13910,45,2.5,101,0,1,0,0,0
197047,1326,13105,35,2.5,101,264,1,0,0,0
183079,1281,19504,56,1.5,101,0,1,0,0,0
191679,1627,16516,76,2.5,101,0,1,0,0,0
200036,1509,18953,66,1.5,101,0,1,0,0,0
154389,1225,13507,61,2.0,101,0,1,0,0,0
187417,1319,16128,45,2.0,101,0,1,0,0,0
